group,layer,head,enrichment_date
seen_unknown,0,8,1.0022245645523071
seen_unknown,0,9,0.9237838387489319
seen_unknown,0,10,1.0877183675765991
seen_unknown,0,11,1.0315215587615967
seen_unknown,1,0,0.44206228852272034
seen_unknown,1,1,0.5084099173545837
seen_unknown,1,2,0.8921395540237427
seen_unknown,1,3,0.2828606367111206
seen_unknown,1,4,0.45687875151634216
seen_unknown,1,5,0.3289629817008972
seen_unknown,1,6,0.42691701650619507
seen_unknown,1,7,0.528398871421814
seen_unknown,1,8,0.48732224106788635
seen_unknown,1,9,0.1010124534368515
seen_unknown,1,10,0.20679348707199097
seen_unknown,1,11,0.7281589508056641
seen_unknown,2,0,0.29452285170555115
seen_unknown,2,1,0.7359901666641235
seen_unknown,2,2,0.12367268651723862
seen_unknown,2,3,0.5052481889724731
seen_unknown,2,4,0.45124611258506775
seen_unknown,2,5,0.5958195924758911
seen_unknown,2,6,0.5532576441764832
seen_unknown,2,7,0.6068735122680664
seen_unknown,2,8,0.710288405418396
seen_unknown,2,9,0.4449545443058014
seen_unknown,2,10,0.3906799554824829
seen_unknown,2,11,0.28002363443374634
seen_unknown,3,0,0.5808460712432861
seen_unknown,3,1,0.47326990962028503
seen_unknown,3,2,0.5541949272155762
seen_unknown,3,3,0.6653591394424438
seen_unknown,3,4,0.42125874757766724
seen_unknown,3,5,0.5653204917907715
seen_unknown,3,6,0.5956947207450867
seen_unknown,3,7,0.5783092975616455
seen_unknown,3,8,0.7529474496841431
seen_unknown,3,9,0.5371823310852051
seen_unknown,3,10,0.3579048812389374
seen_unknown,3,11,1.3125553131103516
seen_unknown,4,0,0.42491841316223145
seen_unknown,4,1,1.0995069742202759
seen_unknown,4,2,0.582570493221283
seen_unknown,4,3,0.3856261074542999
seen_unknown,4,4,0.4745009243488312
seen_unknown,4,5,0.484953910112381
seen_unknown,4,6,0.4157049059867859
seen_unknown,4,7,0.39860454201698303
seen_unknown,4,8,0.7937071323394775
seen_unknown,4,9,0.7107589244842529
seen_unknown,4,10,0.45504453778266907
seen_unknown,4,11,0.46684783697128296
seen_unknown,5,0,0.21393075585365295
seen_unknown,5,1,0.6290193200111389
seen_unknown,5,2,0.23154526948928833
seen_unknown,5,3,0.6005235314369202
seen_unknown,5,4,0.3994337320327759
seen_unknown,5,5,0.5410670042037964
seen_unknown,5,6,0.25583329796791077
seen_unknown,5,7,0.4144955277442932
seen_unknown,5,8,0.37584519386291504
seen_unknown,5,9,0.40136244893074036
seen_unknown,5,10,0.3850472867488861
seen_unknown,5,11,0.3341498076915741
seen_unknown,6,0,0.8961212635040283
seen_unknown,6,1,0.661689281463623
