group,layer,head,enrichment_date
unseen,10,7,0.1350448578596115
unseen,10,8,0.5253790020942688
unseen,10,9,0.7366660237312317
unseen,10,10,0.16176019608974457
unseen,10,11,0.5306479334831238
unseen,11,0,0.010518069379031658
unseen,11,1,0.1721370667219162
unseen,11,2,0.07633184641599655
unseen,11,3,0.2410908192396164
unseen,11,4,0.004965685773640871
unseen,11,5,0.08833678066730499
unseen,11,6,0.543827474117279
unseen,11,7,0.22358736395835876
unseen,11,8,0.02644091472029686
unseen,11,9,0.505599856376648
unseen,11,10,0.056411825120449066
unseen,11,11,0.05754191055893898
seen_own_id,0,0,1.076781153678894
seen_own_id,0,1,1.0716617107391357
seen_own_id,0,2,1.0163474082946777
seen_own_id,0,3,1.0581077337265015
seen_own_id,0,4,1.174033522605896
seen_own_id,0,5,0.8624352812767029
seen_own_id,0,6,0.7954212427139282
seen_own_id,0,7,0.9022952914237976
seen_own_id,0,8,0.9980756044387817
seen_own_id,0,9,0.9289492964744568
seen_own_id,0,10,1.0596791505813599
seen_own_id,0,11,1.036569356918335
seen_own_id,1,0,0.4547644555568695
seen_own_id,1,1,0.5082671642303467
seen_own_id,1,2,0.8948051333427429
seen_own_id,1,3,0.3044688403606415
seen_own_id,1,4,0.45620667934417725
seen_own_id,1,5,0.30285242199897766
seen_own_id,1,6,0.4250025749206543
seen_own_id,1,7,0.5305309891700745
seen_own_id,1,8,0.4307328164577484
seen_own_id,1,9,0.09697850793600082
seen_own_id,1,10,0.1960258185863495
seen_own_id,1,11,0.6940162181854248
seen_own_id,2,0,0.2886227071285248
seen_own_id,2,1,0.7531124949455261
seen_own_id,2,2,0.13055169582366943
seen_own_id,2,3,0.5163165926933289
seen_own_id,2,4,0.4403130114078522
seen_own_id,2,5,0.5772011280059814
seen_own_id,2,6,0.5553960800170898
seen_own_id,2,7,0.6171506643295288
seen_own_id,2,8,0.7057904601097107
seen_own_id,2,9,0.441419392824173
seen_own_id,2,10,0.3761460483074188
seen_own_id,2,11,0.2997909486293793
seen_own_id,3,0,0.5715497136116028
seen_own_id,3,1,0.5019933581352234
seen_own_id,3,2,0.5699739456176758
seen_own_id,3,3,0.6321946978569031
seen_own_id,3,4,0.4131319522857666
seen_own_id,3,5,0.5802586674690247
seen_own_id,3,6,0.6084915995597839
seen_own_id,3,7,0.5654736757278442
seen_own_id,3,8,0.7482507228851318
seen_own_id,3,9,0.5523107051849365
seen_own_id,3,10,0.3641846477985382
seen_own_id,3,11,1.272103190422058
seen_own_id,4,0,0.4296572804450989
seen_own_id,4,1,1.0473930835723877
seen_own_id,4,2,0.5879422426223755
seen_own_id,4,3,0.39087051153182983
seen_own_id,4,4,0.4465673863887787
seen_own_id,4,5,0.46185022592544556
seen_own_id,4,6,0.4205467700958252
seen_own_id,4,7,0.3966801166534424
seen_own_id,4,8,0.8054090738296509
seen_own_id,4,9,0.6697893738746643
seen_own_id,4,10,0.419935405254364
seen_own_id,4,11,0.44517093896865845
seen_own_id,5,0,0.22660574316978455
seen_own_id,5,1,0.6376616358757019
seen_own_id,5,2,0.25122594833374023
seen_own_id,5,3,0.5906943678855896
seen_own_id,5,4,0.43630513548851013
seen_own_id,5,5,0.5359562635421753
seen_own_id,5,6,0.25075680017471313
seen_own_id,5,7,0.4260062873363495
seen_own_id,5,8,0.3882720172405243
seen_own_id,5,9,0.3849406838417053
seen_own_id,5,10,0.452004998922348
seen_own_id,5,11,0.32669758796691895
seen_own_id,6,0,0.8514039516448975
seen_own_id,6,1,0.6574414372444153
seen_own_id,6,2,0.5976636409759521
seen_own_id,6,3,0.745481014251709
seen_own_id,6,4,0.6377795934677124
seen_own_id,6,5,0.8002205491065979
seen_own_id,6,6,0.5096334218978882
seen_own_id,6,7,0.5347772240638733
seen_own_id,6,8,0.9876077175140381
seen_own_id,6,9,0.6425052881240845
seen_own_id,6,10,0.8896517753601074
seen_own_id,6,11,0.6423378586769104
seen_own_id,7,0,1.024763584136963
seen_own_id,7,1,0.7422285676002502
seen_own_id,7,2,0.5596699118614197
seen_own_id,7,3,0.7194161415100098
seen_own_id,7,4,0.43241560459136963
seen_own_id,7,5,0.7774812579154968
seen_own_id,7,6,0.8676405549049377
seen_own_id,7,7,0.33417651057243347
seen_own_id,7,8,0.9847251772880554
seen_own_id,7,9,0.4502953886985779
seen_own_id,7,10,0.44038474559783936
seen_own_id,7,11,0.5710964202880859
seen_own_id,8,0,0.6394864320755005
seen_own_id,8,1,0.4822506010532379
seen_own_id,8,2,0.4415849447250366
seen_own_id,8,3,0.5667971968650818
seen_own_id,8,4,0.24644437432289124
seen_own_id,8,5,0.40774139761924744
seen_own_id,8,6,0.9076102375984192
seen_own_id,8,7,0.9594455361366272
seen_own_id,8,8,0.16437293589115143
seen_own_id,8,9,0.9084025025367737
seen_own_id,8,10,0.5978400111198425
seen_own_id,8,11,0.9048404097557068
seen_own_id,9,0,0.3222757875919342
seen_own_id,9,1,0.5805689692497253
seen_own_id,9,2,0.5425240993499756
seen_own_id,9,3,0.21668866276741028
seen_own_id,9,4,0.8702049255371094
seen_own_id,9,5,0.6524710655212402
seen_own_id,9,6,0.4292171001434326
seen_own_id,9,7,0.5629936456680298
seen_own_id,9,8,0.4036617577075958
seen_own_id,9,9,0.6330552101135254
seen_own_id,9,10,0.27234673500061035
seen_own_id,9,11,0.44193169474601746
seen_own_id,10,0,0.34566307067871094
seen_own_id,10,1,0.28773123025894165
seen_own_id,10,2,0.474850058555603
seen_own_id,10,3,0.32097873091697693
seen_own_id,10,4,0.888555109500885
seen_own_id,10,5,0.6165462136268616
seen_own_id,10,6,0.14833804965019226
seen_own_id,10,7,0.14060644805431366
seen_own_id,10,8,0.48310935497283936
seen_own_id,10,9,0.6890208125114441
seen_own_id,10,10,0.17239773273468018
seen_own_id,10,11,0.5324477553367615
seen_own_id,11,0,0.010994382202625275
seen_own_id,11,1,0.23902128636837006
seen_own_id,11,2,0.1146191731095314
seen_own_id,11,3,0.2545716166496277
seen_own_id,11,4,0.006569808814674616
seen_own_id,11,5,0.11899414658546448
seen_own_id,11,6,0.588533878326416
seen_own_id,11,7,0.31280457973480225
seen_own_id,11,8,0.03198320418596268
seen_own_id,11,9,0.4782470166683197
seen_own_id,11,10,0.0608111247420311
seen_own_id,11,11,0.058436427265405655
seen_unknown,0,0,1.0675978660583496
seen_unknown,0,1,1.105853796005249
seen_unknown,0,2,1.021555781364441
seen_unknown,0,3,1.0863407850265503
seen_unknown,0,4,1.1807082891464233
seen_unknown,0,5,0.8536046743392944
seen_unknown,0,6,0.7874293327331543
seen_unknown,0,7,0.9172345399856567
