group,layer,head,enrichment_uid
is_words,4,4,0.8063057661056519
is_words,4,5,0.41491708159446716
is_words,4,6,0.08384821563959122
is_words,4,7,0.5357056260108948
is_words,4,8,0.9347802400588989
is_words,4,9,0.8348974585533142
is_words,4,10,1.0148273706436157
is_words,4,11,0.9576771855354309
is_words,5,0,0.47695279121398926
is_words,5,1,0.798565685749054
is_words,5,2,0.24112814664840698
is_words,5,3,0.6154916286468506
is_words,5,4,1.214307188987732
is_words,5,5,0.2657660245895386
is_words,5,6,0.0709586814045906
is_words,5,7,1.057361364364624
is_words,5,8,0.49445194005966187
is_words,5,9,0.42992883920669556
is_words,5,10,0.7638946771621704
is_words,5,11,0.33356496691703796
is_words,6,0,0.6368595361709595
is_words,6,1,0.8152114152908325
is_words,6,2,0.46832460165023804
is_words,6,3,1.00569748878479
is_words,6,4,0.6291188597679138
is_words,6,5,0.8849589228630066
is_words,6,6,0.5339891910552979
is_words,6,7,0.7394182682037354
is_words,6,8,0.9255099892616272
is_words,6,9,0.7325262427330017
is_words,6,10,0.6951583623886108
is_words,6,11,0.9545060396194458
is_words,7,0,1.7646018266677856
is_words,7,1,0.7066143751144409
is_words,7,2,0.6530418395996094
is_words,7,3,0.6187308430671692
is_words,7,4,0.3029756247997284
is_words,7,5,1.286766767501831
is_words,7,6,0.8089231252670288
is_words,7,7,0.4261343479156494
is_words,7,8,1.0819435119628906
is_words,7,9,0.7222111821174622
is_words,7,10,0.492803156375885
is_words,7,11,0.7351794242858887
is_words,8,0,0.8519935607910156
is_words,8,1,1.1638013124465942
is_words,8,2,1.1416410207748413
is_words,8,3,0.8535833954811096
is_words,8,4,1.3564409017562866
is_words,8,5,0.8671870231628418
is_words,8,6,1.5426982641220093
is_words,8,7,1.1691126823425293
is_words,8,8,0.5020482540130615
is_words,8,9,1.0580859184265137
is_words,8,10,1.0207449197769165
is_words,8,11,1.9553794860839844
is_words,9,0,0.5270107388496399
is_words,9,1,0.7373521327972412
is_words,9,2,0.6065706610679626
is_words,9,3,0.4265652000904083
is_words,9,4,0.9465442895889282
is_words,9,5,0.7040196657180786
is_words,9,6,0.5670474767684937
is_words,9,7,0.48087137937545776
is_words,9,8,0.4268221855163574
is_words,9,9,0.6736055016517639
is_words,9,10,0.47257909178733826
is_words,9,11,1.1013920307159424
is_words,10,0,1.0520914793014526
is_words,10,1,0.9299842715263367
is_words,10,2,0.9981215596199036
is_words,10,3,1.0039347410202026
is_words,10,4,0.8030243515968323
is_words,10,5,1.2022908926010132
is_words,10,6,0.9279698133468628
is_words,10,7,0.8624557852745056
is_words,10,8,0.7475857734680176
is_words,10,9,1.0579142570495605
is_words,10,10,0.8279580473899841
is_words,10,11,0.6187213063240051
is_words,11,0,0.23032210767269135
is_words,11,1,0.6699349284172058
is_words,11,2,0.08861169964075089
is_words,11,3,0.8037915825843811
is_words,11,4,0.04138849675655365
is_words,11,5,0.6087263226509094
is_words,11,6,0.22967574000358582
is_words,11,7,0.20236240327358246
is_words,11,8,0.1849033087491989
is_words,11,9,0.2677571475505829
is_words,11,10,0.28708815574645996
is_words,11,11,0.23734816908836365
not_is_words,0,0,0.8378197550773621
not_is_words,0,1,1.3456040620803833
not_is_words,0,2,1.0120495557785034
not_is_words,0,3,1.3915249109268188
not_is_words,0,4,1.366965651512146
not_is_words,0,5,0.4850001335144043
not_is_words,0,6,0.607422947883606
not_is_words,0,7,0.985627293586731
not_is_words,0,8,0.7765966057777405
not_is_words,0,9,0.7107018828392029
not_is_words,0,10,1.4146075248718262
not_is_words,0,11,1.0792797803878784
not_is_words,1,0,0.30082783102989197
not_is_words,1,1,0.3944140672683716
not_is_words,1,2,0.804574191570282
not_is_words,1,3,0.18523553013801575
not_is_words,1,4,0.2661934792995453
not_is_words,1,5,0.5476614236831665
not_is_words,1,6,0.28291645646095276
not_is_words,1,7,0.6716215014457703
not_is_words,1,8,0.5729768872261047
not_is_words,1,9,0.10155417770147324
not_is_words,1,10,0.16293735802173615
not_is_words,1,11,0.6068491339683533
not_is_words,2,0,0.23367314040660858
not_is_words,2,1,0.572472870349884
not_is_words,2,2,0.10401850193738937
not_is_words,2,3,0.5280267000198364
not_is_words,2,4,0.7594363689422607
not_is_words,2,5,0.8828805685043335
not_is_words,2,6,0.35570529103279114
not_is_words,2,7,0.5054904222488403
not_is_words,2,8,0.8542910218238831
not_is_words,2,9,0.6376330852508545
not_is_words,2,10,0.58160001039505
not_is_words,2,11,0.37837156653404236
not_is_words,3,0,0.3174385130405426
not_is_words,3,1,0.30987411737442017
not_is_words,3,2,1.1232646703720093
not_is_words,3,3,1.146243929862976
not_is_words,3,4,0.21757592260837555
not_is_words,3,5,0.37202462553977966
not_is_words,3,6,0.387780100107193
not_is_words,3,7,0.5782331824302673
not_is_words,3,8,0.5746250152587891
not_is_words,3,9,0.42015212774276733
not_is_words,3,10,0.2856252193450928
not_is_words,3,11,1.134141445159912
not_is_words,4,0,1.0556560754776
not_is_words,4,1,1.6636382341384888
not_is_words,4,2,0.5359260439872742
not_is_words,4,3,0.5076202750205994
not_is_words,4,4,0.7888162136077881
not_is_words,4,5,0.7352825999259949
