group,layer,head,enrichment_uid
seen_unknown,11,2,0.09359413385391235
seen_unknown,11,3,0.946540355682373
seen_unknown,11,4,0.07606562227010727
seen_unknown,11,5,0.7234051823616028
seen_unknown,11,6,0.24914196133613586
seen_unknown,11,7,0.19816330075263977
seen_unknown,11,8,0.28416207432746887
seen_unknown,11,9,0.25167739391326904
seen_unknown,11,10,0.25527966022491455
seen_unknown,11,11,0.2993268370628357
is_words,0,0,0.8534983396530151
is_words,0,1,1.218611240386963
is_words,0,2,0.9791913628578186
is_words,0,3,1.0385688543319702
is_words,0,4,1.3423537015914917
is_words,0,5,0.5249115824699402
is_words,0,6,0.6519832611083984
is_words,0,7,0.944828987121582
is_words,0,8,0.9748700261116028
is_words,0,9,0.8441200852394104
is_words,0,10,1.0324965715408325
is_words,0,11,1.1071962118148804
is_words,1,0,0.41526317596435547
is_words,1,1,0.4515394866466522
is_words,1,2,0.801910936832428
is_words,1,3,0.18331873416900635
is_words,1,4,0.18624639511108398
is_words,1,5,0.2771424949169159
is_words,1,6,0.31761276721954346
is_words,1,7,0.9295210838317871
is_words,1,8,0.5676102638244629
is_words,1,9,0.046882208436727524
is_words,1,10,0.16888563334941864
is_words,1,11,0.3517020344734192
is_words,2,0,0.18080540001392365
is_words,2,1,0.6159605383872986
is_words,2,2,0.05789981037378311
is_words,2,3,0.48377248644828796
is_words,2,4,0.2237720936536789
is_words,2,5,0.5246570110321045
is_words,2,6,0.16047357022762299
is_words,2,7,0.5404873490333557
is_words,2,8,0.7629611492156982
is_words,2,9,0.6312671899795532
is_words,2,10,0.2932860255241394
is_words,2,11,0.25674766302108765
is_words,3,0,0.15218909084796906
is_words,3,1,0.22691674530506134
is_words,3,2,0.5306633710861206
is_words,3,3,0.6729722023010254
is_words,3,4,0.05674784258008003
is_words,3,5,0.3138677477836609
is_words,3,6,0.3838379979133606
is_words,3,7,0.41838109493255615
is_words,3,8,0.2544443905353546
is_words,3,9,0.39834660291671753
is_words,3,10,0.15422868728637695
is_words,3,11,0.37549322843551636
is_words,4,0,1.1576896905899048
is_words,4,1,1.0370848178863525
is_words,4,2,0.5546454787254333
is_words,4,3,0.4983951449394226
