group,layer,head,enrichment_uid,enrichment_date
seen_own_id,7,8,1.1055707931518555,0.928361177444458
seen_own_id,7,9,1.522316575050354,0.352548211812973
seen_own_id,7,10,0.4666176736354828,0.39088618755340576
seen_own_id,7,11,0.6417258381843567,0.5610851049423218
seen_own_id,8,0,0.694959819316864,0.6400908827781677
seen_own_id,8,1,0.6484962701797485,0.5314412713050842
seen_own_id,8,2,0.9411945939064026,0.5546868443489075
seen_own_id,8,3,0.5023857355117798,0.45555803179740906
seen_own_id,8,4,1.2157163619995117,0.36641931533813477
seen_own_id,8,5,1.4585682153701782,0.4788607060909271
seen_own_id,8,6,1.650456190109253,0.5022387504577637
seen_own_id,8,7,1.0908650159835815,1.010906457901001
seen_own_id,8,8,0.5335893034934998,0.18084870278835297
seen_own_id,8,9,1.0221858024597168,0.5499944090843201
seen_own_id,8,10,0.46654370427131653,0.6455547213554382
seen_own_id,8,11,0.7905580997467041,0.8521111011505127
seen_own_id,9,0,0.9094043374061584,0.3554016947746277
seen_own_id,9,1,0.8987770080566406,0.5042122006416321
seen_own_id,9,2,0.5105133056640625,0.7120621800422668
seen_own_id,9,3,0.5897777676582336,0.38756734132766724
seen_own_id,9,4,1.3841524124145508,0.733443558216095
seen_own_id,9,5,1.084598422050476,0.5625657439231873
seen_own_id,9,6,1.0376274585723877,0.6490405797958374
seen_own_id,9,7,0.8138195872306824,0.6534819006919861
seen_own_id,9,8,0.540790319442749,0.32661816477775574
seen_own_id,9,9,0.7959296703338623,0.64589923620224
seen_own_id,9,10,0.9538998603820801,0.44380515813827515
seen_own_id,9,11,0.9543699026107788,0.5782920718193054
seen_own_id,10,0,1.7191678285598755,0.330795556306839
seen_own_id,10,1,1.5307538509368896,0.46611055731773376
seen_own_id,10,2,1.2031277418136597,0.5330464839935303
seen_own_id,10,3,2.643627643585205,0.5226340889930725
seen_own_id,10,4,1.0056378841400146,0.6956449151039124
seen_own_id,10,5,3.6031174659729004,0.7324247360229492
seen_own_id,10,6,0.8086107969284058,0.5633981823921204
