layer,head,enrichment_uid,enrichment_date
9,11,0.8589420914649963,0.5587185025215149
10,0,1.2389452457427979,0.36576274037361145
10,1,1.3124741315841675,0.5192167162895203
10,2,1.092071533203125,0.5536379814147949
10,3,2.3632335662841797,0.5780906081199646
10,4,0.9780500531196594,0.6948086023330688
10,5,3.737030029296875,0.7511032223701477
10,6,0.8118163347244263,0.5003901124000549
10,7,1.5221467018127441,0.28233158588409424
10,8,0.9713498950004578,0.7340915203094482
10,9,3.191519260406494,0.5002401471138
10,10,0.6871179342269897,0.4625992178916931
10,11,0.6631606221199036,0.5129899978637695
11,0,0.10778292268514633,0.017898274585604668
11,1,0.4868607521057129,0.09594839066267014
11,2,0.012699673883616924,0.03208731859922409
11,3,0.7129358649253845,0.17147599160671234
11,4,0.01719680428504944,0.005176801234483719
11,5,0.24198758602142334,0.05484263598918915
11,6,0.48881107568740845,0.488876074552536
11,7,0.18100011348724365,0.32428592443466187
11,8,0.048330895602703094,0.011528557166457176
11,9,0.8175763487815857,0.5112522840499878
11,10,0.0872502326965332,0.03826683759689331
11,11,0.13155388832092285,0.039103321731090546
