mass_date_tokens,mass_cls,mass_content,enrichment_date,enrichment_content,n_date_tokens,seq_len,group
0.10686306655406952,0.32118749618530273,0.5719494372606277,0.2778439730405807,0.9913790245850882,10,26,seen
0.09671501815319061,0.40507444739341736,0.49821053445339203,0.2224445417523384,0.9549035243690014,10,23,seen
0.07094961404800415,0.399118036031723,0.5299323499202728,0.17737403512001038,0.9463077677147728,10,25,seen
0.09266001731157303,0.2797994911670685,0.6275404915213585,0.23165004327893257,1.1206080205738544,10,25,seen
0.09406624734401703,0.3217802047729492,0.5841535478830338,0.24457224309444425,1.012532816330592,10,26,seen
0.09799720346927643,0.2712773382663727,0.6307254582643509,0.26459244936704635,1.0643492108210921,10,27,seen
0.10172891616821289,0.2621760964393616,0.6360949873924255,0.2644951820373535,1.1025646448135378,10,26,seen
0.11109927296638489,0.32338660955429077,0.5655141174793243,0.2888581097126007,0.9802244702974956,10,26,seen
0.103997603058815,0.35913175344467163,0.5368706434965134,0.270393767952919,0.9305757820606233,10,26,seen
0.08870381116867065,0.26992571353912354,0.6413704752922058,0.23950029015541077,1.0823126770555973,10,27,seen
0.09656043350696564,0.3538326919078827,0.5496068745851517,0.2414010837674141,0.981440847473485,10,25,seen
0.13681477308273315,0.29351434111595154,0.5696708858013153,0.31467397809028624,1.0918691977858543,10,23,seen
0.1108936294913292,0.3129159212112427,0.5761904492974281,0.277234073728323,1.0289115166025502,10,25,seen
0.11667782068252563,0.3122504651546478,0.5710717141628265,0.3033623337745666,0.9898576378822328,10,26,seen
0.09335799515247345,0.3005799353122711,0.6060620695352554,0.26140238642692565,0.9982198792345385,10,28,seen
0.05781641602516174,0.43010812997817993,0.5120754539966583,0.1503226816654205,0.8875974535942078,10,26,seen
0.06482276320457458,0.31990543007850647,0.615271806716919,0.17502146065235138,1.0382711738348007,10,27,seen
0.05789913982152939,0.43432262539863586,0.5077782347798347,0.1505377635359764,0.880148940285047,10,26,seen
0.071681447327137,0.3380446135997772,0.5902739390730858,0.18637176305055617,1.0231414943933488,10,26,seen
0.11938493698835373,0.2750093638896942,0.6056056991219521,0.2984623424708843,1.0814387484320571,10,25,seen
0.11525965481996536,0.2635844945907593,0.6211558505892754,0.29967510253190993,1.0766701410214108,10,26,seen
0.10299824178218842,0.28379568457603455,0.613206073641777,0.2780952528119087,1.0347852492704988,10,27,seen
0.10824375599622726,0.31542620062828064,0.5763300433754921,0.3030825167894363,0.9492494832066929,10,28,seen
0.07371798157691956,0.3986721634864807,0.5276098549365997,0.20641034841537476,0.8690044669543996,10,28,seen
0.048903703689575195,0.40826448798179626,0.5428318083286285,0.13693037033081054,0.8940759196000941,10,28,seen
0.09440942108631134,0.2750158905982971,0.6305746883153915,0.26434637904167174,1.0385936042841744,10,28,seen
0.09432333707809448,0.28397560119628906,0.6217010617256165,0.2358083426952362,1.1101804673671722,10,25,seen
0.09467586129903793,0.3000340163707733,0.6052901223301888,0.22722206711769102,1.1174586873788102,10,24,seen
0.0912061259150505,0.3016623258590698,0.6071315482258797,0.2371359273791313,1.0523613502581914,10,26,seen
0.100483737885952,0.3328361511230469,0.5666801109910011,0.28135446608066556,0.9333554769263549,10,28,seen
0.058658093214035034,0.4029369056224823,0.5384050011634827,0.1642426609992981,0.8867847077986774,10,28,seen
0.10308388620615005,0.285493940114975,0.611422173678875,0.25770971551537514,1.0918253101408482,10,25,seen
0.0798526406288147,0.346881628036499,0.5732657313346863,0.19164633750915527,1.0583367347717285,10,24,seen
0.0743953213095665,0.32103046774864197,0.6045742109417915,0.20086736753582957,1.0202189809642732,10,27,seen
0.048403821885585785,0.43748775124549866,0.5141084268689156,0.12584993690252302,0.8911212732394537,10,26,seen
0.07626642286777496,0.3011741638183594,0.6225594133138657,0.1906660571694374,1.1117132380604744,10,25,seen
0.0920594334602356,0.3789755403995514,0.528965026140213,0.2117366969585419,1.0138496334354083,10,23,seen
0.11078782379627228,0.2731115520000458,0.616100624203682,0.26589077711105347,1.1374165369914129,10,24,seen
0.0866093784570694,0.28226548433303833,0.6311251372098923,0.2165234461426735,1.1270091735890932,10,25,seen
0.08067622035741806,0.28852468729019165,0.6307990923523903,0.20975817292928695,1.09338509341081,10,26,seen
0.08780017495155334,0.2831439971923828,0.6290558278560638,0.21950043737888336,1.1233139783143997,10,25,seen
0.11183655261993408,0.26901885867118835,0.6191445887088776,0.26840772628784176,1.1430361637702355,10,24,seen
0.08559513092041016,0.3302733302116394,0.5841315388679504,0.2225473403930664,1.0124946673711142,10,26,seen
0.11104097962379456,0.27315661311149597,0.6158024072647095,0.2664983510971069,1.1368659826425407,10,24,seen
0.07565747201442719,0.3843502104282379,0.5399923175573349,0.18157793283462523,0.996908893952003,10,24,seen
